Référentiel;Dossier;Sous Dossier 1;Sous Dossier 2;Nom du document;Nomenclature d'enregistrement
Spécification;DS;;;Dossier de spécification;PIC_EXXON_DSX_vX.X
;;Annexes;;Annexes au DS;PIC_EXXON_DSX_vX.X_[Description]_xx-xx-202x
;PTVI;Plan de Test de Validation Interne;;Plan de Test de Validation Interne;PIC_EXXON_PTVI_LOTX
;;Rapport PTVI;;Rapport du PTVI;PIC_EXXON_Rapport_PTVI_LOTX
